u,g,r,i,z,redshift
19.59875,17.83952,16.87986,16.378410000000002,15.98913,0.09169833550000002
19.17712,18.06049,17.497320000000002,17.13026,16.89425,0.09440787605000005
19.99676,17.97508,16.97474,16.53014,16.145429999999998,0.10196216499999994
18.73026,17.58725,17.1469,16.81542,16.6327,0.06913647849999997
18.87795,17.38308,16.61531,16.14276,15.77188,0.0822218869999999
21.62263,19.00489,17.72508,17.434420000000003,17.01591,0.17645782100000013
19.60987,17.82515,16.90492,16.440929999999998,16.13031,0.09177428999999998
19.86673,18.18567,17.417270000000002,17.05799,16.77261,0.06559187100000002
18.20461,16.59096,15.80656,15.42365,15.11246,0.05330468000000001
18.11684,16.56514,15.739670000000002,15.292370000000002,14.97511,0.06357341099999984
20.129620000000003,18.44545,17.59198,17.09899,16.755129999999998,0.11395425150000019
19.8209,17.660510000000002,16.62154,16.18197,15.82472,0.11409327950000007
20.49701,18.75833,17.72961,17.2349,16.83434,0.13465507550000014
19.47341,17.46547,16.425910000000002,15.95952,15.57761,0.11712264350000004
19.49244,17.83323,16.89583,16.42598,16.086779999999997,0.09669598000000011
19.44953,17.82238,17.13371,16.70488,16.43259,0.07344399199999999
21.00306,19.01425,17.81685,17.32266,16.95301,0.17488690349999989
18.03148,16.12943,15.2968,14.90944,14.62648,0.05398479000000008
20.21787,18.21895,17.127760000000002,16.661929999999998,16.28446,0.13419102049999998
20.10389,18.5861,17.74353,17.285420000000002,17.04591,0.13667160299999986
20.67866,18.47757,17.459039999999998,16.92436,16.51691,0.13207679949999995
20.65176,18.72669,17.48505,16.9755,16.59025,0.18164146999999986
19.70535,18.239420000000003,17.40956,16.98088,16.69109,0.11868560299999986
19.61455,17.6572,16.64392,16.139979999999998,15.76595,0.10334329149999992
20.84309,18.97123,17.79445,17.32882,16.94656,0.15263616949999986
19.33108,17.56802,16.65471,16.21508,15.8469,0.08677940900000002
20.51689,18.79205,17.719929999999998,17.23084,16.82836,0.14146779500000006
20.90901,19.01517,17.7544,17.25346,16.90579,0.19653889999999993
20.1201,18.41474,17.56808,17.093770000000003,16.73224,0.11289443000000014
16.51495,14.68004,13.84068,13.41985,13.09006,0.025632577999999965
20.2442,18.54631,17.71285,17.32894,17.01848,0.10513705549999992
20.64693,18.85924,17.88806,17.32035,16.91065,0.12351211899999988
18.50924,17.32571,16.77444,16.433529999999998,16.19321,0.07489310249999993
20.687620000000003,18.69042,17.54831,17.0437,16.70315,0.15884260849999982
18.78617,17.70465,17.31079,17.112460000000002,16.92673,0.047616235
20.98468,19.00677,17.678539999999998,17.14769,16.751260000000002,0.2015881250000002
19.18487,17.60098,16.72928,16.26665,15.89405,0.10778701399999994
20.4821,18.4145,17.23339,16.71624,16.32266,0.16722436899999987
19.35304,17.872510000000002,17.19807,16.83035,16.58211,0.08259571899999997
19.35561,18.20332,17.67729,17.36187,17.13304,0.08708116799999993
19.75838,17.70854,16.63459,16.107870000000002,15.71609,0.12385246449999997
20.74209,18.72611,17.6865,17.21128,16.82924,0.13523582150000002
19.2217,18.06295,17.69578,17.46941,17.38278,0.053755174999999954
18.97236,17.89425,17.5362,17.27085,17.18093,0.06706419449999998
20.82133,18.85485,17.71341,17.27009,16.91239,0.15057273999999995
18.503120000000003,16.87881,15.94719,15.46375,15.13734,0.07227649799999995
19.33486,17.675420000000003,16.89369,16.48659,16.16619,0.09105534700000001
19.86141,18.63847,17.65233,17.23443,16.929370000000002,0.17830938
17.255979999999997,15.34355,14.46744,14.04882,13.71744,0.04918179000000001
19.24054,17.35766,16.36876,15.90759,15.52483,0.09541847999999989
19.20624,17.44996,16.64347,16.22953,15.93859,0.07099361149999997
20.8754,18.79377,17.472579999999997,16.95316,16.62821,0.1905929789999999
20.33391,18.64196,17.7054,17.31525,16.99311,0.1073390669999999
19.53719,18.061020000000003,17.3438,16.93732,16.59269,0.09066774349999993
19.21019,18.10165,17.5407,17.17918,16.99156,0.09976765400000004
20.66269,18.94913,17.293779999999998,16.694010000000002,16.30351,0.24591868349999976
19.30663,17.39883,16.53238,16.118170000000003,15.815920000000002,0.06549782700000002
21.45173,19.18763,18.01925,17.53858,17.11303,0.1455327445000002
19.89418,18.33508,17.62676,17.259420000000002,17.027929999999998,0.10341514649999999
20.79109,18.97979,17.73234,17.2041,16.81429,0.17689607900000032
19.74969,17.771910000000002,16.77918,16.30558,15.94104,0.10913852300000002
18.6911,17.54543,17.121229999999997,16.8558,16.68102,0.05923122949999996
18.79316,16.811989999999998,15.866929999999998,15.39753,15.02125,0.0781197865
20.09533,18.49597,17.51418,17.07433,16.81813,0.14471282200000002
19.3199,18.1329,17.50376,17.08923,16.86252,0.08998871700000013
21.18181,18.94498,17.78862,17.245620000000002,16.88286,0.17139262500000002
20.05157,18.7542,17.91021,17.50514,17.19518,0.15397072350000018
20.27347,18.76578,17.53854,16.976,16.56344,0.18312409050000003
19.54054,17.500989999999998,16.46423,16.00618,15.59555,0.10295366050000013
20.90621,18.86424,17.644579999999998,17.09897,16.7734,0.19020159999999986
20.31271,18.18254,17.014570000000003,16.55144,16.1935,0.15620529499999972
18.09078,16.64955,15.93659,15.53804,15.27883,0.06362189749999997
19.44355,18.09311,17.386029999999998,17.01045,16.76691,0.09191110800000006
20.58963,18.67502,17.75086,17.32862,16.99693,0.10402111250000003
21.11161,19.05379,17.63812,17.09649,16.71943,0.22474274500000033
20.59583,18.81058,17.74519,17.25911,16.89783,0.13545244500000003
